SKILL_20180327_000001	攻击	공격	
SKILL_20180327_000275	对敌人发射雷弹	적에게 뇌 탄을 발사합니다	
SKILL_20180327_000276	寒气弹	냉기 탄	
SKILL_20180327_000277	对敌人发射寒气弹	적에게 냉기 탄을 발사합니다	
SKILL_20180327_000278	亚卡利欧基本攻击	아가리오 기본 공격	
SKILL_20180327_000279	糖果疾走	캔디 대쉬	
SKILL_20180327_000280	亚卡利欧基本攻击2	아가리오 기본 공격2	
SKILL_20180327_000281	亚卡利欧基本攻击3	아가리오 기본 공격3	
SKILL_20180327_000282	亚卡利欧基本攻击4	아가리오 기본 공격4	
SKILL_20180327_000283	雪人玩具	눈사람 장난감	
SKILL_20180327_000284	圣诞钟玩具	크리스마스 종 장난감	
SKILL_20180327_000285	突刺	쓰러스트	
SKILL_20180327_000286	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}用武器底部强力刺击敌人并击退。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}적을 무기 끝으로 강하게 찔러 뒤로 밀쳐냅니다.	
SKILL_20180327_000287	攻击力 #{SkillFactor}#%{nl}广域攻击比率 #{SkillSR}#	공격력 #{SkillFactor}#%{nl}광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000288	痛击	배쉬	
SKILL_20180327_000289	{#DD5500}{ol}[物理] - [斩击]{/}{/}{nl}以强力攻击给予敌人伤害。	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}강한 공격으로 적에게 피해를 줍니다.	
SKILL_20180327_000290	专注	콘센트레이트	
SKILL_20180327_000291	增加自身的攻击威力。	자신의 공격 위력을 증가시킵니다.	
SKILL_20180327_000292	追加伤害 +#{CaptionRatio2}#{nl}攻击次数 #{CaptionRatio}#次{nl}持续时间 #{CaptionTime}#秒	추가대미지 +#{CaptionRatio2}#{nl}공격 횟수 #{CaptionRatio}#회{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000293	苦痛屏障	페인 배리어	
SKILL_20180327_000294	就算受到一时性的伤害，身体也不会僵硬，也不会被挤出或是跌倒，而且状态异常相关的效果扺抗机率也会增加。	일시적으로 피해를 입어도 몸이 경직되지 않으며, 밀려나거나 넘어지지도 않습니다. 또한 상태 이상에 대한 효과 저항 확률도 증가합니다.	
SKILL_20180327_000295	持续时间 #{CaptionTime}#秒	지속시간 #{CaptionTime}#초	
SKILL_20180327_000296	抑制	리스트레인	
SKILL_20180327_000297	降低自身的最大 HP，但所攻击的敌人会有机率发生昏厥。	자신의 최대 HP를 낮추지만 공격한 적이 기절 상태가 될 확률이 생깁니다.	
SKILL_20180327_000298	敌人昏厥机率 #{CaptionRatio}#%{nl}最大体力 #{CaptionRatio2}# 减少{nl}持续时间 #{CaptionTime}#秒	적 기절 확률 #{CaptionRatio}#%{nl}최대 체력 #{CaptionRatio2}# 감소{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000299	剑柄打击	포멀비트	
SKILL_20180327_000300	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}用刀的刀柄打击敌人。{nl}对昏厥状态的敌人给予追加伤害，对小型、中型怪物无法部份防御。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}칼의 손잡이로 적을 때립니다.{nl}기절 상태의 적에게는 추가 대미지를 주고, 소형, 중형 몬스터에게 방어력의 일부를 무시합니다.	
SKILL_20180327_000301	攻击力 #{SkillFactor}#%{nl}无视中小型对象防御力 #{CaptionRatio}#%{nl}广域攻击比率 #{SkillSR}#	공격력 #{SkillFactor}#%{nl}소, 중형 대상 방어력 무시 #{CaptionRatio}#%{nl}광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000302	二重斩	더블슬래쉬	
SKILL_20180327_000303	{#DD5500}{ol}[物理] - [斩击]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}攻击速度]{/}{/}{nl}左右斩击敌人。{nl}攻击出血状态的敌人时，会给予追加伤害。	{#DD5500}{ol}[물리] - [베기]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}공격속도]{/}{/}{nl}적을 좌우로 베어 버립니다.{nl}출혈 상태의 적을 공격하면 추가대미지를 줍니다.	
SKILL_20180327_000304	攻击力 #{SkillFactor}#% x 2次{nl}广域攻击比率 #{SkillSR}#	공격력 #{SkillFactor}#% x 2회{nl}광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000305	盾心打击	엄보블로	
SKILL_20180327_000306	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}利用盾牌的凸起处攻击敌人，对格挡僵直中的敌人给予的追加伤害。如被攻击击中，物理攻击力会额外套用盾牌的物理防御力 30%，挑拨数值套用50倍。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}방패의 돌기를 이용해 적을 공격합니다. 블록 경직중의 적에게는 추가 대미지를 줍니다. 공격이 적중하면 물리 공격력에 방패의 물리 방어력 30% 추가 적용되고 도발 수치가 50배 적용됩니다.	
SKILL_20180327_000307	盾缘敲击	림블로	
SKILL_20180327_000308	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}利用盾牌的边缘攻击敌人。遭受攻击的敌人会被击退，如攻击石化、结冰状态的敌人时，可造成追加伤害。如被攻击击中，物理攻击力会额外套用盾牌的物理防御力 30%，挑拨数值套用50倍。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}방패의 테두리를 이용해 적을 공격합니다. 피격된 적은 넉백 되고 석화, 결빙상태의 적을 공격하면 추가 대미지를 줍니다. 공격이 적중하면 물리 공격력에 방패의 물리 방어력 30% 추가 적용되고 도발 수치가 50배 적용됩니다.	
SKILL_20180327_000309	敲盾挑衅	스워시 버클링	
SKILL_20180327_000310	敲打盾牌，挑拨周围的敌人追踪自己。被挑拨的怪物移动速度会变快，在30秒内呈现挑拨技能免疫的状态。	방패를 두드려 주변의 적을 도발하여 자신을 쫓게 합니다. 도발에 걸린 몬스터는 이동속도가 빨라지며 30초간 도발 스킬에 면역상태가 됩니다.	
SKILL_20180327_000311	套用对象数量 #{CaptionRatio}#{nl}挑拨持续时间  #{CaptionTime}#秒{nl}#{CaptionRatio2}#秒内最大挑拨对象数增加#{CaptionRatio3}#。	적용 대상 수 #{CaptionRatio}#{nl}도발 지속시간  #{CaptionTime}#초{nl}#{CaptionRatio2}#초간 최대 도발 대상 수 #{CaptionRatio3}# 증가	
SKILL_20180327_000312	减少自身攻击力，使防御力增加。无法和技能奋起一起使用。	자신의 공격력을 감소시키는 대신 방어력을 증가시킵니다. 스킬 겅호와 함께 사용할 수 없습니다.	
SKILL_20180327_000313	物理防御力 #{CaptionRatio}#% 增加{nl}物理攻击力 #{CaptionRatio2}#% 减少{nl}持续时间 #{CaptionTime}#秒	물리 방어력 #{CaptionRatio}#% 증가{nl}물리 공격력 #{CaptionRatio2}#% 감소{nl}지속시간 #{CaptionTime}#초	
SKILL_20180327_000314	盾牌投掷	실드랍	
SKILL_20180327_000315	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}丢掷盾牌攻击敌人。丢掷出去的盾牌会掉落在指定的位置上， 自己的物理防御力也会因丢掷出盾牌而减少装备的数值，盾牌可以透过角色前往剪取，或是在经过一定时间后自动回收，当盾牌回到身上时，减少的物理防御力会再次恢复。如被攻击击中，物理攻击力会额外套用盾牌的物理防御力 30%，挑拨数值套用50倍。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}방패를 던져 적을 공격합니다. 던진 방패는 지정 위치에 떨어지고, 자신의 물리 방어력이 장비의 수치만큼 감소됩니다. 방패는 가서 줍거나 일정 시간 이후 자동으로 습득되며, 이 때는 감소된 물리 방어력이 원래대로 돌아옵니다. 공격이 적중하면 물리 공격력에 방패의 물리 방어력 30% 추가 적용되고 도발 수치가 50배 적용됩니다.	
SKILL_20180327_000316	高级守护	하이가드	
SKILL_20180327_000317	将盾牌挡在前面转换为积极的防御姿势。虽然档格会增加，但是攻击力和暴击发生会减少。	방패를 앞세우는 적극적인 방어 스탠스로 전환합니다. 블록이 증가하지만 공격력과 치명타 발생이 감소합니다.	
SKILL_20180327_000318	格挡增加#{CaptionRatio}#{nl}攻击力减少#{CaptionTime}#%{nl}暴击率减少#{CaptionRatio2}#{nl}持续时间30秒	블럭 #{CaptionRatio}# 증가{nl}공격력 #{CaptionTime}#% 감소{nl}치명타 발생 #{CaptionRatio2}# 감소{nl}지속시간 30초	
SKILL_20180327_000319	蝴蝶	버터플라이	
SKILL_20180327_000320	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}利用盾牌和剑连续攻击敌人。如被攻击击中，物理攻击力会额外套用盾牌的物理防御力100%，挑拨数值套用 50倍。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}방패와 검을 이용해 적을 연속으로 공격합니다. 공격이 적중하면 물리 공격력에 방패의 물리 방어력 100% 추가 적용되고 도발 수치가 50배 적용됩니다.	
SKILL_20180327_000321	攻击力 #{SkillFactor}#% x 3次{nl}广域攻击比率 #{SkillSR}#	공격력 #{SkillFactor}#% x 3회{nl}광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000322	盾心突刺	엄보 쓰러스트	
SKILL_20180327_000323	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}使用以两手抓住的盾牌突起处，强力地攻击敌人。敌人会暂时失去防具的效果。如被攻击击中，物理攻击力会额外套用盾牌的物理防御力 30%，挑拨数值套用50倍。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}양손으로 잡은 방패의 돌기로 적을 강하게 가격해 공격합니다. 적은 일시적으로 방어구들의 효과를 잃어버릴 수 있습니다. 공격이 적중하면 물리 공격력에 방패의 물리 방어력 30% 추가 적용되고 도발 수치가 50배 적용됩니다.	
SKILL_20180327_000324	长刺	랑고르트	
SKILL_20180327_000325	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}使用盾牌和剑同时刺击，同时攻击敌人的攻击与防御。如被攻击击中，挑拨数值套用 50倍。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}방패와 검을 동시에 찔러 적의 공격을 방어함과 동시에 공격합니다. 공격이 적중하면 도발 수치가 50배 적용됩니다.	
SKILL_20180327_000326	攻击力 #{SkillFactor}#% x 4次	공격력 #{SkillFactor}#% x 4회	
SKILL_20180327_000327	车轮斩	수레바퀴	
SKILL_20180327_000328	{#DD5500}{ol}[Physical] - [Slash]{/}{/}{nl}Perform an upward swing with your weapon, launching an enemy.	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}무기로 적을 힘껏 올려쳐 날려버립니다.	
SKILL_20180327_000329	蓄力一击	카타스트로크	
SKILL_20180327_000330	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}凝聚力量以武器劈击地面攻击敌人。对击倒敌人造成的伤害增加2倍。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}힘을 모아 무기로 지면을 내려쳐 적을 공격합니다. 넉다운 된 적에게 주는 대미지가 2배 증가합니다.	
SKILL_20180327_000331	攻击力 #{SkillFactor}#% x 4次{nl}施法时间 #{CaptionRatio2}#秒{nl}广域攻击比率 #{SkillSR}#	공격력 #{SkillFactor}#% x 4회{nl}캐스팅 시간 #{CaptionRatio2}#초{nl}광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000332	击头	크라운	
SKILL_20180327_000333	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}强力劈击敌人的头部进行攻击。暂时敌人的智能和精神力。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}적의 머리 부분을 강하게 내려쳐 공격합니다. 일시적으로 적의 지능과 정신력을 감소시킵니다.	
SKILL_20180327_000334	攻击力 #{SkillFactor}#%{nl}{#339999}{ol}[衝击]{/}{/} 持续时间 #{CaptionTime}#秒{nl}广域攻击比率 #{SkillSR}#	공격력 #{SkillFactor}#%{nl}{#339999}{ol}[충격]{/}{/} 지속시간 #{CaptionTime}#초{nl}광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000335	十字守护	크로스 가드	
SKILL_20180327_000336	使用武器採取防御姿势。遭到防御后的敌人会对刺击攻击呈脆弱状态。	무기를 이용하여 방어 자세를 취합니다. 방어 당한 직후의 적은 찌르기 공격에 취약한 상태가 됩니다.	
SKILL_20180327_000337	格挡 #{CaptionRatio2}# 增加	블럭 #{CaptionRatio2}# 증가	
SKILL_20180327_000338	连续斩	뮬리넷	
SKILL_20180327_000339	{#DD5500}{ol}[物理] - [斩击]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}攻击速度]{/}{/}{nl}以圆形的轨迹挥动剑，对前方敌人连续攻击。 对受到击头效果攻击的敌人造成的伤害增加2倍。	{#DD5500}{ol}[물리] - [베기]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}공격속도]{/}{/}{nl}검을 원형의 궤적으로 휘둘러 전방의 적에게 연속 공격을 가합니다. 크라운 효과에 걸린 적에게 주는 대미지가 2배 증가합니다.	
SKILL_20180327_000340	攻击力 #{SkillFactor}#% x 5次{nl}广域攻击比率 #{SkillSR}#	공격력 #{SkillFactor}#% x 5회{nl}광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000341	骷髅摇摆	스컬 스윙	
SKILL_20180327_000342	{#DD5500}{ol}[Physical] - [Strike]{/}{/}{nl}Strike and push an enemy sidewards using the side of your sword. The enemy becomes afflicted with [Armor Break].	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}적을 칼의 넓은 옆면으로 후려쳐 옆으로 밀쳐냅니다. 적은 방어구 파괴 상태가 됩니다.	
SKILL_20180327_000343	破空斩	스카이라이너	
SKILL_20180327_000344	{#DD5500}{ol}[物理] - [斩击]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}攻击速度]{/}{/}{nl}大幅横劈攻击敌人。{nl}对出血状态的敌人给予追加伤害。	{#DD5500}{ol}[물리] - [베기]{/}{/} {#7AE4FF}{ol}[{img tooltip_speedofatk}공격속도]{/}{/}{nl}적을 좌우로 크게 베어 공격합니다.{nl}출혈 상태의 적에게 추가대미지를 줍니다.	
SKILL_20180327_000345	十字斩击	크로스컷	
SKILL_20180327_000346	{#DD5500}{ol}[物理] - [斩击]{/}{/}{nl}向敌人方向前进，并以十字型态砍击敌人，造成出血状态。	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}적 방향으로 전진하면서 적의 중심을 십자 형태로 베어 출혈 상태를 일으킵니다.	
SKILL_20180327_000347	垂直斩	버티컬 슬래쉬	
SKILL_20180327_000348	{#DD5500}{ol}[物理] - [斩击]{/}{/}{nl}进行将高举的剑顺著身体重心的方向垂直劈下的攻击。对受到骷髅摇摆的影响而防御力减少的中型、大型敌人，会按照削减防御力数值的比例给予追加伤害。额外伤害红利会根据套用在敌人身上的负面效果数量做套用。	{#DD5500}{ol}[물리] - [베기]{/}{/}{nl}치켜든 검을 몸의 중심 방향을 따라 수직으로 내리꽂는 공격을 합니다. 스컬 스윙으로 방어력이 감소된 중형, 대형 적에게는 깎인 방어력 수치에 비례하여 추가 대미지를 줍니다. 적에게 적용된 해로운 효과의 개수에 따라 추가대미지 보너스가 적용됩니다.	
SKILL_20180327_000349	刺击	스태빙	
SKILL_20180327_000350	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}用枪连续刺击敌人给予伤害。 连续刺击越多，对敌人造成的伤害会增加。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}창으로 적을 연속으로 찔러 피해를 줍니다. 연속으로 찌를수록 적에게 주는 대미지가 증가합니다.	
SKILL_20180327_000351	攻击力 #{SkillFactor}#% x 15次{nl}广域攻击比率#{SkillSR}#{nl}伤害最多增加100%	공격력 #{SkillFactor}#% x 15회{nl}광역 공격 비율 #{SkillSR}#{nl}대미지 최대 100% 증가	
SKILL_20180327_000352	贯穿击	피어스	
SKILL_20180327_000353	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}用枪强力刺击敌人给予伤害。敌人块头越大，套用越多连打红利。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}창으로 적을 강하게 찔러 피해를 줍니다. 적의 크기가 클수록 연타 보너스가 적용 됩니다.	
SKILL_20180327_000354	攻击力 #{SkillFactor}#%{nl}中型对象2连打{nl}大型对象3连打	공격력 #{SkillFactor}#%{nl}중형 대상 2연타{nl}대형 대상 3연타	
SKILL_20180327_000355	瞄准隙缝	피네스트라	
SKILL_20180327_000356	转换为积极攻击的斗牛姿势状态。增加暴击率、格挡，但迴避会减少。	적극적으로 공격하는 창문자세 스탠스로 전환합니다. 치명타 발생, 블록이 증가하지만 회피가 감소합니다.	
SKILL_20180327_000357	暴击发生增加 #{CaptionRatio}# {nl}格挡增加 #{CaptionRatio3}# {nl}迴避减少 #{CaptionRatio2}# {nl} 持续时间 #{CaptionTime}#秒	치명타 발생 #{CaptionRatio}# 증가{nl}블록 #{CaptionRatio3}# 증가{nl}회피 #{CaptionRatio2}# 감소{nl} 지속시간 #{CaptionTime}#초	
SKILL_20180327_000358	双手突刺	양손찌르기	
SKILL_20180327_000359	{#DD5500}{ol}[物理] - [刺击] - [打击]{/}{/}{nl}利用盾牌和长枪攻击敌人给予伤害。在敌人的攻击上使用反击，会给予追加伤害。	{#DD5500}{ol}[물리] - [찌르기] - [때리기]{/}{/}{nl}방패와 창을 이용해 적을 공격하여 피해를 줍니다. 적의 공격에 카운터로 사용하면 추가적인 피해를 줍니다.	
SKILL_20180327_000360	攻击力 #{SkillFactor}#%{nl}{nl}广域攻击比率 #{SkillSR}#	공격력 #{SkillFactor}#%{nl}{nl}광역 공격 비율 #{SkillSR}#	
SKILL_20180327_000361	长驱直入	롱스트라이드	
SKILL_20180327_000362	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}瞬间跳跃至指定的位置，对范围内的敌人造成伤害。伤害值和自己的物品栏重量成正比。重量比所增加的伤害值不会超过最大100%。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}순간적으로 지정된 위치로 도약하여 범위 내 적에게 피해를 줍니다. 자신의 인벤토리 무게 비율만큼 대미지가 증가합니다. 무게 비율로 증가하는 대미지는 최대 100%를 넘지 못합니다.	
